trial,input_size,hidden_size,output_size,sequence_length,batch_size,learning_rate,num_epochs,patience,mean_val_loss,std_val_loss
1.0,1.0,8.0,1.0,10.0,64.0,0.00030887567507992714,100.0,15.0,0.0006549949139298405,0.0
2.0,1.0,8.0,1.0,100.0,16.0,0.0015169980582701848,50.0,5.0,3.488068284097704e-05,0.0
3.0,1.0,8.0,1.0,20.0,32.0,0.0010249686360134878,50.0,15.0,7.452291673314082e-05,0.0
4.0,1.0,16.0,1.0,100.0,128.0,0.00027598230915285764,150.0,5.0,0.0002568562049418688,0.0
5.0,1.0,16.0,1.0,50.0,64.0,0.0003595362491460477,100.0,10.0,8.265404273212577e-05,0.0
